analysis,sweep_param,value,gap,peak_cyclic_pct,n_seed,costa_odcl_mean,costa_odcl_sd,true_odcl_mean,true_odcl_sd,deviation_mean,deviation_sd
primary_hysteresis_gap,TOP,4,2,79.3,30,5.772,0.005,8.000,0.001,-2.228,0.005
primary_hysteresis_gap,TOP,6,4,66.7,30,6.221,0.009,8.088,0.006,-1.866,0.010
primary_hysteresis_gap,TOP,8,6,53.5,30,7.040,0.012,8.801,0.010,-1.761,0.010
primary_hysteresis_gap,TOP,10,8,40.2,30,8.023,0.008,9.672,0.009,-1.649,0.009
primary_hysteresis_gap,TOP,12,10,26.9,30,9.087,0.007,10.630,0.009,-1.543,0.010
primary_hysteresis_gap,TOP,14,12,13.9,30,10.297,0.011,11.599,0.006,-1.302,0.011
primary_hysteresis_gap,TOP,16,14,3.9,30,11.714,0.016,12.345,0.006,-0.631,0.015
primary_hysteresis_gap,TOP,18,16,0.4,30,12.475,0.017,12.602,0.007,-0.128,0.015
primary_hysteresis_gap,TOP,20,18,0.0,30,12.577,0.016,12.627,0.007,-0.050,0.013
primary_hysteresis_gap,TOP,22,20,0.0,30,12.579,0.015,12.628,0.007,-0.049,0.012
aux_fraction_TR,f_TR,0.00,,0.0,30,12.577,0.016,12.627,0.007,-0.050,0.013
aux_fraction_TR,f_TR,0.10,,5.4,30,12.076,0.025,12.410,0.010,-0.334,0.018
aux_fraction_TR,f_TR,0.20,,10.8,30,11.465,0.026,12.171,0.012,-0.706,0.020
aux_fraction_TR,f_TR,0.30,,16.1,30,10.727,0.035,11.899,0.013,-1.172,0.030
aux_fraction_TR,f_TR,0.40,,21.4,30,9.876,0.039,11.594,0.015,-1.718,0.034
aux_fraction_TR,f_TR,0.50,,26.7,30,9.033,0.039,11.251,0.016,-2.219,0.037
aux_fraction_TR,f_TR,0.60,,32.1,30,8.350,0.022,10.860,0.019,-2.510,0.026
